Scientific Name,Common Name,Family,Max Rooting Depth (m),Max Rooting Depth (feet),CA Phreatophytes,Reference,Location,Biome,Soil Type,Growth form,Method,Life span,Lat,Long,USDA soil texture,Native,GW Use
Carya ovata,Shagbark hickory,,2.2,7.22,,"Sprackling and Read,",E. Nebraska,Prarie with planted and,Knox silt loam,tree,excavation,,,,,,
Caryocar brasiliense,,,0.7,2.30,,"Salis et al., 2014","Nhecolândia Pantanal,",Tropical savanna,"sandy Spodosols, 94‐",tree,excavation,,,,,,
Casearia sylvestris Sw.,,,1,3.28,,"Salis et al., 2014","Nhecolândia Pantanal,",Tropical savanna,"sandy Spodosols, 94‐",tree,excavation,,,,,,
Cassia bauhinioides,twin‐leaf senna,,1.7,5.58,,"Gibbens and Lenz, 2001;","Chihuahuan Desert, New",xeric shrubland,coarse‐loamy,herb,excavation,,,,,,
Cassia mimosoides,,,0.4,1.31,,"Gaze et al., 1998","Sahel, SW Niger",grass savanna,sandy (2‐5mdeep),herbs and grass,soilsamples,,,,,,
Cassia siamea,kassod tree,,0.9,2.95,,"Jonsson, 1988","Morogoro, E. Tanzania",subtropical dry forest,"sandy loams, poor in Org and",legume tree,soil coringto 1m,,,,,,
Cassiope hypnoides,moss bell heather,,0.09,0.30,,"Jonasson & Callaghan,",Sweedish Lapland,tundra,,forb (forming moss‐like,excavation,,,,,,
Cassiope tetragona,"Arctic bell‐ heather,",,0.013,0.04,,"Jonasson & Callaghan,",Sweedish Lapland,tundra,,drawrf shrub,excavation,,,,,,
Castalia odorata,American hite water,,0.25,0.82,,"Sherff, 1912",N. Illinoise near Lake,temperate riparian,black muck or partially,herb,excavation,,,,,,
Castanopsis chinensis,,,0.7,2.30,,"Hao et al., 2006","Guangdong Province,",subtropical moist forest,lateritic red earth rich in,tree,excavation + soil,,,,,,
Castela emoryi special stands,,,,,,,,,,,,,,,,1,
Catalpa speciosa,Northern catalpa,,3.1,10.17,,"Sprackling and Read,",E. Nebraska,Prarie with planted and,Sarpy very fine sandy loam,tree,excavation,,,,,,
Ceanothus crassifolius,Hoaryleaf ceanothus,,> 1.37,>4.49,1,"Hellmers et al., 1955",San Gabrial / Bernardino,Chaparral,"litter, humus (0.08‐0.15m) on",shrub,excavation,,,,,,
Ceanothus crassifolius,Hoaryleaf ceanothus,Rhamnaceae,1.37,4.49,1,Hellmers et al. 1955,"California, USA",mediterranean sclerophyllous shrubland,clay loam on diorite,shrub,,perennial,34.2,-117.76,ClLo,,
Ceanothus cuneatus,,,,,1,,,,,,,,,,,,
Ceanothus greggii,,Rhamnaceae,0.3,0.98,1,Miller & Ng 1977,"California, USA",mediterranean sclerophyllous shrubland,sandy loam over decomposed granite,shrub,,perennial,36.7783,-119.4179,SaLo,,
Ceanothus greggii,,Rhamnaceae,0.3,0.98,1,Miller & Ng 1977,"California, USA",mediterranean sclerophyllous shrubland,sandy loam over decomposed granite,shrub,,perennial,36.7783,-119.4179,SaLo,,
Ceanothus greggii var.,Mojave Desert,,> 1.37,>4.49,,"Hellmers et al., 1955",San Gabrial / Bernardino,Chaparral,"sandy loam, on loose rock",shrub,excavation,,,,,,
Ceanothus gregii var. vestitus,,Rhamnaceae,1.37,4.49,,Hellmers et al. 1955,"California, USA",mediterranean sclerophyllous shrubland,sandy loam over granodiorite,shrub,,perennial,34.2,-117.76,SaLo,,
Ceanothus leucodermis,,Rhamnaceae,3.66,12.01,,Hellmers et al. 1955,"California, USA",mediterranean sclerophyllous shrubland,granitic bedrock,shrub,,perennial,34.2,-117.76,Ro,,
Ceanothus leucodermis,Chaparral whitethorn,,> 3.66,> 12.01,,"Hellmers et al., 1955",San Gabrial / Bernardino,Chaparral,"loose coarse sand (0.15m),",shrub,excavation,,,,,,
Ceanothus leucodermis,Chaparral whitethorn,,3.66,12.01,,"Hellmers et al., 1955",San Gabrial / Bernardino,Chaparral,either gravel terraces or,shrub,road cut,,,,,,
Ceanothus megacarpus,,Rhamnaceae,2.4,7.87,,Thomas & Davis 1989,"Pepperdine University, Malibu, California",mediterranean sclerophyllous shrubland,sandstone with fissures,shrub,,perennial,34.23,-118.423,Ro,,
Ceanothus megacarpus,,Rhamnaceae,1.9,6.23,,Thomas & Davis 1989,"Pepperdine University, Malibu, California",mediterranean sclerophyllous shrubland,sandstone with fissures,shrub,,perennial,34.23,-118.423,Ro,,
Ceanothus oliganthus,Hairy ceanothus,,> 1.83,> 6.00,,"Hellmers et al., 1955",San Gabrial / Bernardino,Chaparral,"litter, humus (0.08‐0.15m) on",shrub,excavation,,,,,,
Ceanothus oliganthus,Hairy ceanothus,Rhamnaceae,1.83,6.00,,Hellmers et al. 1955,"California, USA",mediterranean sclerophyllous shrubland,loam to clay loam on diorite,shrub,,perennial,34.2,-117.76,ClLo,,
Ceanothus ovatus,redroot,,4.42,14.50,,"Weaver, 1919","Subclimax Prairies, near",prairie‐ chaparral,more adundance of,shrub,excavation,,,,,,
Ceanothus spinosus,,Rhamnaceae,3.1,10.17,,Thomas & Davis 1989,"Pepperdine University, Malibu, California",mediterranean sclerophyllous shrubland,sandstone with fissures,shrub,,perennial,34.23,-118.423,Ro,,
Ceanothus spinosus,,Rhamnaceae,2.4,7.87,,Thomas & Davis 1989,"Pepperdine University, Malibu, California",mediterranean sclerophyllous shrubland,sandstone with fissures,shrub,,perennial,34.23,-118.423,Ro,,
Ceanothus tomentosus,,,,,1,,,,,,,,,,,,
Ceanothus verrucosus,,,,,1,,,,,,,,,,,,
Cecropia distachya,,,0.3,0.98,,"Pavlis & Jenik, 2000","Colombian Amazonia,",lowland tropical,"silt loam /loamy sand in A, clay",tree,"excavation, soil",,,,,,
Cecropia ficifolia,,,0.18,0.59,,"Pavlis & Jenik, 2000","Colombian Amazonia,",lowland tropical,"silt loam /loamy sand in A, clay",tree,"excavation, soil",,,,,,
Cecropia pachystachya,,,1.2,3.94,,"Salis et al., 2014","Nhecolândia Pantanal,",Tropical savanna,"sandy Spodosols, 94‐",tree,excavation,,,,,,
Cecropia sciadophylla,,,0.17,0.56,,"Pavlis & Jenik, 2000","Colombian Amazonia,",lowland tropical,"silt loam /loamy sand in A, clay",tree,"excavation, soil",,,,,,
Cecropia sciadophylla,,,0.26,0.85,,"Pavlis & Jenik, 2000","Colombian Amazonia,",lowland tropical,"silt loam /loamy sand in A, clay",tree,"excavation, soil",,,,,,
Cedrus deodara,"deodar cedar,",,2.4,7.87,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,sandy loam,tree,excavation,,,,,,
Cedrus deodara,"deodar cedar,",,2.4,7.87,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,sandy loam,tree,excavation,,,,,,
Celtis laevigata,Sugar Hackberry,,6,19.69,,"Jackson et al., 1999",Cent‐Eastern Edwards,savanna and woodland,"shallow, calcareou",tree,caveexposure,,,,,,
Celtis mildbraedii,,,0.6,1.97,,"Lawson et al., 1970","S Ghana, near Kade, Agr Res",moist semi‐ desiduous,"humus‐10cm, well‐drained",tree,soilmonoliths,,,,,,
Celtis occidentalis,Hackberry,,2.7,8.86,,"Sprackling and Read,",E. Nebraska,Prarie with planted and,Wabash siltloam,tree,excavation,,,,,,
Celtis pallida,Desert Hackberry,,1.6,5.25,,"Midwood et al., 1998","near Alice, S. Texas",savanna parkland,sandy loam soil 2m deep,small thorny shrub,1.5mcorning,,,,,,
Celtis pallida,Desert Hackberry,,2,6.56,,"Midwood et al., 1998","near Alice, S. Texas",savanna parkland,sandy loam over claypan,small thorny shrub,1.5mcorning,,,,,,
Celtis reticulata,Netleaf Hackberry,Ulmaceae,4.6,15.09,1,"Stromberg, J. 2013. Root patterns and hydrogeomorphic niches of riparian plants in the American
Southwest. Journal of Arid Environments 94 (2013) 1-9. Appendix B.  Rooting data for shrubs and trees.",Arizona,NR,NR,Tree,Personal observation,,,,,1,Y
Cephalanthus occidentalis,Common Buttonbush,,,,,,,,,,,,,,,1,
Cephalophyllum sp.,,,0.07,0.23,,"Esler & Rundel, 1999","Namaqualand , South Africa",,sandy,shrub,excavation,,,,,,
Cercidium floridum,,,,,1,,,,,,,,,,,,
Cercis canadensis,redbud,,1.8,5.91,,"Sprackling and Read,",E. Nebraska,Prarie with planted and,Wabash siltloam,tree,excavation,,,,,,
Cercocarpus betuloides,Birchleaf mountain‐mahogany,,> 1.52,> 4.99,,"Hellmers et al., 1955",San Gabrial / Bernardino,Chaparral,"sandy loam, on loose rock",shrub,excavation,,,,,,
Cercocarpus betuloides,Birchleaf mountain‐mahogany,Rosaceae,1.52,4.99,,Hellmers et al. 1955,"California, USA",mediterranean sclerophyllous shrubland,sandy loam over granodiorite,shrub,,perennial,34.2,-117.76,SaLo,,
Cercocarpus montanus,Mountain mahogany,,1.07,3.51,,"Berndt and Gibbons, 1958","Front Range Rockies, near",mountain forest,loose fine grey sand on,shrub,exavation,,,,,,
Cercocarpus montanus,Mountain mahogany,,1.52,4.99,,"Berndt and Gibbons, 1958","Front Range Rockies, near",mountain forest,"5cm litter, 20cm coarse gravely",shrub,exavation,,,,,,
Cercocarpus montanus,Mountain mahogany,,1.52,4.99,,"Berndt and Gibbons, 1958","Front Range Rockies, near",mountain forest,"3‐5cm litter, 25cm dark stony",shrub,exavation,,,,,,
Chamaecyparis lawsoniana,sawara cypress,,1.1,3.61,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,loam,tree,excavation,,,,,,
Chamaecyparis lawsoniana,Port Orford Cedar,,,,,,,,,,,,,,,1,
Chamaecyparis obtusa,Japanese cypress,,0.8,2.62,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,loam,tree,excavation,,,,,,
Chamaecyparis obtusa,Japanese cypress,,0.9,2.95,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,loam,tree,excavation,,,,,,
Chamaecyparis obtusa,Japanese cypress,,1.5,4.92,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,loam,tree,excavation,,,,,,
Chamaecyparis obtusa,Japanese cypress,,1.7,5.58,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,loam,tree,excavation,,,,,,
Chamaecyparis pisifera,sawara cypress,,1,3.28,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,loam,tree,excavation,,,,,,
Chamaecyparis pisifera var.,sawara cypress,,0.5,1.64,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,loam,tree,excavation,,,,,,
Chamaecyparis pisifera var.,sawara cypress,,1.1,3.61,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,loam,tree,excavation,,,,,,
Chamaecyparis pisifera var.,sawara cypress,,1.2,3.94,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,humus loam,tree,excavation,,,,,,
Chamaespartium,,,0.4,1.31,,"Silva & Rego, 2004",Central Portugal,Mediterrane an shrubland,schist lithossols,green‐stem leaf‐less shrub,excavation,,,,,,
Chamaesyce abramsiana,,Euphorbiaceae,0.26,0.85,,Forseth et al. 1984,"Death Valley, California, USA",subtropical semi-desert,sand to silt,prostrate forb,,annual,36.5323,-116.9325,Si,,
Chamrenerium,fireweed,,0.46,1.51,,"Weaver, 1919","near Pike's Peak,",Forest community,"1‐2"" humus on rich black",herb,excavation,,,,,,
Chamrenerium,fireweed,,1.22,4.00,,"Weaver, 1919","near Pike's Peak,",Gravel‐slide community,gravel,herb,excavation,,,,,,
Chilopsis linearis,Desert Willow,Bignoniaceae,1.6,5.25,1,"Stromberg, J. 2013. Root patterns and hydrogeomorphic niches of riparian plants in the American
Southwest. Journal of Arid Environments 94 (2013) 1-9. Appendix B.  Rooting data for shrubs and trees.",New Mexico,Arroyo,NR,Tree/Shrub,Excavation,,,,,1,N
Chondrilla juncea,rush skeletonwee,,2.4,7.87,,Lichtenegger & Kutschera‐,"north of Eurgenland,",,black earth,forb,excavation,,,,,,
Chrysopsis villosa,hairy false goldenaster,,2.4,7.87,,"Coupland & Johnson, 1965",southern Saskatchewan,Canadian Prairies,sand,subshrub,trenchwall,,,,,,
Chrysothamnus,"yellow rabbitbrush,",,1 - 1.25,3.28-4.10,1,Abbott et al. 1991,"SE Idaho, INEL",semi‐arid shrub‐steppe,sandy loam to clay; calcic,shrub,131I radiotracer,,,,,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",,> 3.92,>12.86,1,"Dittmer, 1959",North‐Central Arizona,arid desert,"sand, graval, hard clay, then",shrub,excavation,,,,,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",,4,13.12,1,"Donovan et al., 1996","Mono Lake, California",arid desert,2‐3.6m dune sand on lake,shrub,soil pitsand cores,,,,,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",,2.4,7.87,1,"Groeneveld & Crowley, 1988","Owen Valley, CA",arid desert,sandy,shrub,trenchwall + soil,,,,,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",,2.5,8.20,1,"Klepper et al., 1985","Hanford, SC Washington",semi‐arid shrub‐steppe,sandy‐loam to silty loam,shrub,excavation,,,,,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",,> 1.55 (2mto guess),> 5.09,1,"Sperry & Hacke, 2002","Great Basin, C Utah",arid desert,"Sand (87% sand, 6% silt, 7% clay),",shrub,"soil pits, inferred",,,,,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",,> 1.55,> 5.09,1,"Sperry & Hacke, 2002","Great Basin, C Utah",arid desert,"Sandy loam (59% sand, 29%",shrub,"soil pits, inferred",,,,,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",Asteraceae,1.47,4.82,1,Klepper et al. 1985,"Hanford Site, Hanford, Washington",temperate semi-desert,sandy loam to sand,shrub,,perennial,46.6475,-119.5986,LoSa,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",Asteraceae,1.5,4.92,1,Klepper et al. 1985,"Hanford Site, Hanford, Washington",temperate semi-desert,sandy loam to sand,shrub,,perennial,46.6475,-119.5986,LoSa,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",Asteraceae,1.6,5.25,1,Klepper et al. 1985,"Hanford Site, Hanford, Washington",temperate semi-desert,sandy loam to sand,shrub,,perennial,46.6475,-119.5986,LoSa,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",Asteraceae,1.7,5.58,1,Klepper et al. 1985,"Hanford Site, Hanford, Washington",temperate semi-desert,sandy loam to sand,shrub,,perennial,46.6475,-119.5986,LoSa,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",Asteraceae,1.75,5.74,1,Klepper et al. 1985,"Hanford Site, Hanford, Washington",temperate semi-desert,sandy loam to sand,shrub,,perennial,46.6475,-119.5986,LoSa,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",Asteraceae,1.85,6.07,1,Klepper et al. 1985,"Hanford Site, Hanford, Washington",temperate semi-desert,sandy loam to sand,shrub,,perennial,46.6475,-119.5986,LoSa,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",Asteraceae,2,6.56,1,Klepper et al. 1985,"Hanford Site, Hanford, Washington",temperate semi-desert,sandy loam to sand,shrub,,perennial,46.6475,-119.5986,LoSa,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",Asteraceae,2.1,6.89,1,Klepper et al. 1985,"Hanford Site, Hanford, Washington",temperate semi-desert,sandy loam to sand,shrub,,perennial,46.6475,-119.5986,LoSa,,
Chrysothamnus nauseosus,"rubber rabbitbrush, Common rabbitbrush,  Mohave rubberbrush",Asteraceae,2.5,8.20,1,Klepper et al. 1985,"Hanford Site, Hanford, Washington",temperate semi-desert,sandy loam to sand,shrub,,perennial,46.6475,-119.5986,LoSa,,
Chrysothamnus nauseosus consimilis,,,,,1,,,,,,,,,,,,
Chrysothamnus nauseosus graveolens,,,,,1,,,,,,,,,,,,
Chrysothamnus nauseosus mohavensis,,,,,1,,,,,,,,,,,,
Chrysothamnus nauseosus oreophilus,,,,,1,,,,,,,,,,,,
Chrysothamnus nauseosus viridulus,,,,,1,,,,,,,,,,,,
Chrysothamnus pumilus,,,,,1,,,,,,,,,,,,
Chrysothamnus viscidiflorus,yellow rabbitbrush,,1.9,6.23,,"Reynolds & Fraley, 1989","E of Idaho Falls, ID",semi‐arid shrub‐steppe,clayey silt,shrub,32P radiotracer,,,,,,
Chrysothamnus viscidiflorus,yellow rabbitbrush,,2,6.56,,"Reynolds & Fraley, 1989","E of Idaho Falls, ID",semi‐arid shrub‐steppe,aeolian sandy loam and loess,shrub,32P radiotracer,,,,,,
Chrysothamnus viscidiflorus,"Green rabbitbrush,  Stickyleaf rabbitbrush, Yellow rabbitbrush",Asteraceae,1.45,4.76,,Klepper et al. 1985,"Hanford Site, Hanford, Washington",temperate semi-desert,sandy loam to sand,shrub,,perennial,46.6475,-119.5986,LoSa,,
Chrysothamnus viscidiflorus,"Green rabbitbrush,  Stickyleaf rabbitbrush, Yellow rabbitbrush",Asteraceae,1.6,5.25,,Klepper et al. 1985,"Hanford Site, Hanford, Washington",temperate semi-desert,sandy loam to sand,shrub,,perennial,46.6475,-119.5986,LoSa,,
Cichorium intybus L.,chicory,,1.8,5.91,,"Gentile et al., 2003",S. Uruguay,temporate grassland,silty clay loam,herb,soil coring,,,,,,
Cistus crispus,,,0.44,1.44,,"Silva & Rego, 2004",Central Portugal,Mediterrane an shrubland,humic cambissols,small shrub,excavation,,,,,,
Cistus ladanifer,gum rockrose,,0.1,0.33,,"Silva & Rego, 2004",Central Portugal,Mediterrane an shrubland,schist lithossols,shrub,excavation,,,,,,
Cistus salvifolius,,,0.47,1.54,,"Silva & Rego, 2004",Central Portugal,Mediterrane an shrubland,humic cambissols,small shrub,excavation,,,,,,
Citrus medica,sour lime,,2,6.56,,"Howard, 1925","Pusa, N Bihar, India, on the",orchards and rice fields,"calcareous siltloam, 75% sand‐",tree,exposureby,,,,,,
Clathrotropis macrocarpa,,,1.08,3.54,,"Pavlis & Jenik, 2000","Colombian Amazonia,",lowland tropical,"silt loam /loamy sand in A, clay",tree,"excavation, soil",,,,,,
Clematis hirsutissima,hairy clematis,,1.0 - 1.4,3.28-5.49,,Spence 1937,"Boise, Idaho",semi‐arid shrub‐steppe,"Granitic clay, thin humus",forb / subshrub,trenchwall,,,,,,
Clethra revoluta,,,1,3.28,,"Soethe et al., 2006","Podocarpus Nat Park, S",tropical montane,"0.15m O, on >0.9m mineral",small tree,excavation,,,,,,
Cliffortia ruscifolia,,,1.5,4.92,,"Higgins et al., 1987","E of Cape Town, South","mountain fynbos,","loamy sand, with quartzite",mid‐high shrub,excavation,,,,,,
Clintonia uniflora,queencup beadlily,,0.23 (0.15‐0.3),0.75 (0.49-0.98),,"Antos, 1988","Cascade Mt., N. Oregon",Mountain forest,deep pumice soils,semi‐succulent herb,excavation,,,,,,
Clintonia uniflora,queencup beadlily,Liliaceae,0.23,0.75,,,"Cascade Mountains, N Oregon",Mountain forest,deep pumice soils,herb,,perennial,45.3033,-121.5124,,,
Clusia sp.,,,0.45,1.48,,"Soethe et al., 2006","Podocarpus Nat Park, S",tropical elfin forest,"0.3m O, on 0.4m mineral soil",small tree,excavation,,,,,,
Cobresia capilliformis,,,0.16,0.52,,"Nesterova, 1996","Zailiisky Alatau Range,",dry steppe,,grass,trench,,,,,,
Cochlospermum insigne,,,1.4,4.59,,"Rawitscher, 1948",Emas (Pirassununga,Campo Cerrado (tree,"deep, homogeneous",small tree,deep wells (shafts),,,,,,
Coiliguaya odorifera,,,> 0.6,> 1.97,,"Hoffmann, 1978","near Santiago,","Mediterrane an, Chilean","compact, hard, clay‐sand‐gravel‐",sclerophyllous shrubs,excavation,,,,,,
Coleogyne ramosissima,,Rosaceae,1.11,3.64,,Manning & Groeneveld 1989,"E California, USA",temperate desert,rocky sandy loam,semi-shrub,,perennial,37.16666667,-118.2833333,SaLo,,
Colliguaya integerrima,,,2,6.56,,"Bucci et al., 2009","Patagonia, NW Santa",dry steppe,gravely sandy loam or gravely,tall shrub,excavation,,,,,,
Collomia heterophylla,,Polemoniaceae,0.16,0.52,,Antos & Halpern 1997,"Western Cascade Mountains, Oregon, USA",temperate conifer forest,"deep, originated from volcanic ash",forb/herb,,annual,44.16,-122.34,Lo,,
Colophospermum mopane,"mopane, mopani,",,0.6,1.97,,"Timberlake & Calvert, 1993","Sasame Riv, N. Gokwe, N.",subtropical dry forest,clay loam (alluvium),small tree,excavation,,,,,,
Colophospermum mopane,"mopane, mopani,",,1.1,3.61,,"Timberlake & Calvert, 1993","Dagamela, C. Nkayi, W.",subtropical dry forest,sandy clay,small tree,excavation,,,,,,
Colophospermum mopane,"mopane, mopani,",,1.3,4.27,,"Timberlake & Calvert, 1993","Dagamela, C. Nkayi, W.",subtropical dry forest,sandy loam,small tree,excavation,,,,,,
Colophospermum mopane,"mopane, mopani,",,1.6,5.25,,"Timberlake & Calvert, 1993","near West Nicholson, S.",subtropical dry forest,coarse granite sand,small tree,excavation,,,,,,
Colophospermum mopane,"mopane, mopani,",,2.8,9.19,,"Timberlake & Calvert, 1993","C. Lup ane, W. Zimbabwe",subtropical dry forest,consolidated sandy loam,small tree,excavation,,,,,,
Combretum adenogonium,Four‐leaved bushwillow,,1.5,4.92,,"Timberlake & Calvert, 1993","Chilanga, S. Zambia",subtropical dry forest,clay over limestone,small tree,excavation,,,,,,
Combretum apiculatum,red bushwillow,,1.1,3.61,,"Timberlake & Calvert, 1993","near West Nicholson, S.",subtropical dry forest,"coarse granite sand, over",small tree,excavation,,,,,,
Combretum apiculatum,red bushwillow,,1.3,4.27,,"Timberlake & Calvert, 1993","Nyamandhlov u, W.",subtropical dry forest,"kalahari sand, over sandy‐clay",small tree,excavation,,,,,,
Combretum apiculatum,red bushwillow,,1.7,5.58,,"Timberlake & Calvert, 1993","C. Lup ane, W. Zimbabwe",subtropical dry forest,consolidated sands (rive,small tree,excavation,,,,,,
Combretum celastroides,"Jesse‐bush bushwillow,",,0.4,1.31,,"Timberlake & Calvert, 1993","Sasame Riv, N. Gokwe, N.",subtropical dry forest,coarse sand,shrub,excavation,,,,,,
Combretum collinum,"Jesse‐bush bushwillow,",,0.9,2.95,,"Timberlake & Calvert, 1993","N. Dande Com Ld, N",subtropical dry forest,sand,small tree,excavation,,,,,,
Combretum collinum,"variable combretum,",,2.6,8.53,,"Timberlake & Calvert, 1993","Nyamandhlov u, W.",subtropical dry forest,"kalahari sand, over sandy‐clay",small tree,excavation,,,,,,
Combretum elaeagnoides,Large‐ fruited jesse‐bush,,0.6,1.97,,"Timberlake & Calvert, 1993","Sasame Riv, N. Gokwe, N.",subtropical dry forest,"sand, coarse sand",small tree,excavation,,,,,,
Combretum elaeagnoides,Large‐ fruited jesse‐bush,,0.6,1.97,,"Timberlake & Calvert, 1993","N. Dande Com Ld, N",subtropical dry forest,coarse sand,small tree,excavation,,,,,,
Combretum hereroense,Mouse‐ eared,,0.8,2.62,,"Timberlake & Calvert, 1993","NW Hwange, W. Zimbabwe",subtropical dry forest,vertisol,shrub,excavation,,,,,,
Combretum hereroense,Mouse‐ eared,,1.9,6.23,,"Timberlake & Calvert, 1993","C. Lup ane, W. Zimbabwe",subtropical dry forest,consolidated karoo sands,shrub,excavation,,,,,,
Combretum imberbe,Leadwood,,2.5,8.20,,"Timberlake & Calvert, 1993","C. Lup ane, W. Zimbabwe",subtropical dry forest,consolidated sands (rive,tree,excavation,,,,,,
Combretum zeyheri,Large‐ Fruited,,1.2,3.94,,"Timberlake & Calvert, 1993","Nyamandhlov u, W.",subtropical dry forest,"kalahari sand, over sandy‐clay",tree,excavation,,,,,,
Commiphora glandulosa,Tall firethorn,,0.7,2.30,,"Timberlake & Calvert, 1993","Nyamandhlov u, W.",subtropical dry forest,"kalahari sand, over sandy‐clay",tree,excavation,,,,,,
Commiphora glandulosa,Tall firethorn,,1.3,4.27,,"Timberlake & Calvert, 1993","Fuller For. Hwange, W.",subtropical dry forest,kalahari sand,tree,excavation,,,,,,
Commiphora glandulosa,Tall firethorn,,1.3,4.27,,"Timberlake & Calvert, 1993","C. Lup ane, W. Zimbabwe",subtropical dry forest,consolidated karoo sands,tree,excavation,,,,,,
Commiphora mollis,Velvet‐ Leaved,,0.9,2.95,,"Timberlake & Calvert, 1993","near West Nicholson, S.",subtropical dry forest,coarse granite sand,small tree,excavation,,,,,,
Commiphora mossambicensis,Pepper‐ leaved,,0.7,2.30,,"Timberlake & Calvert, 1993","near West Nicholson, S.",subtropical dry forest,"coarse granite sand, over",small tree,excavation,,,,,,
Commiphora mossambicensis,Pepper‐ leaved,,0.7,2.30,,"Timberlake & Calvert, 1993","Fuller For. Hwange, W.",subtropical dry forest,kalahari sand,small tree,excavation,,,,,,
Commiphora saxicola,myrrh,,0.35,1.15,,"Kutschera‐Mitter, 1996","near Uis Myn, Namibia",semiarid desert,,shrub,excavation,,,,,,
Commiphora ugogensis,River corkwood,,1.2,3.94,,"Timberlake & Calvert, 1993","N. Dande Com Ld, N",subtropical dry forest,sand,tree,excavation,,,,,,
Comptonia peregrina L.,"sweetfern, sweet-fern",,> 0.3(rhizome),> 0.98 (rhizome),,"Whittle et al., 1998","eastern Ontario,",Boreal forest,humo‐ferricpodzol in fine,shrub (suckering),excavation,,,,,,
Condalia microphylla,,,0.55,1.80,,"Pelaez et al., 1994","La Pampa Province,",dry steppe,"shallow soil, medium to",shrub,trenchwall,,,,,,
Condalia spathulata,"Snakewood, etc.",,1.36,4.46,,"Cannon, 1911","Sonoran Desert,",arid desert,"sand, adobe",shrub,excavation,,,,,,
Conyza canadensis,,Asteraceae,0.19,0.62,,Antos & Halpern 1997,"Western Cascade Mountains, Oregon, USA",temperate conifer forest,"deep, originated from volcanic ash",forb/herb,,annual,44.16,-122.34,Lo,,
Cordia dodecandra,,,2.0 - 3.0,6.56-9.84,,"Querejeta et al., 2007","Northern Yucatan,",subtropical dry forest,"shallow, rocky, high OM",tree,soil/rockpits +,,,,,,
Cordia dodecandra,,,2.0 - 3.0,6.56-9.84,,"Querejeta et al., 2007","Northern Yucatan,",subtropical dry forest,"shallow, rocky, high OM",tree,soil/rockpits +,,,,,,
Cordylanthus ramosus,bushy bird's beak,,1.6,5.25,,"Reynolds & Fraley, 1989","E of Idaho Falls, ID",semi‐arid shrub‐steppe,clayey silt,forb,32P radiotracer,,,,,,
Cornulaca monacantha,,,> 2.4,> 7.87,,"Veste & Breckle, 1996","Israel, Negev desert, duns",arid desert,dune sand,spiny shrub (not saline,excavation,,,,,,
Cornus alternifolia,Dogwood,,0.9,2.95,,"Sprackling and Read,",E. Nebraska,Prarie with planted and,Cass fine sandy loam,tree,excavation,,,,,,
Cornus sericea,Red-osier Dogwood,,,,,,,,,,,,,,,1,
Corylus americana,American hazelnut,,3.51,11.52,,"Weaver, 1919","near Peru, E. Nebraska",chaparral,loess,mediem to large shrub,excavation,,,,,,
Corylus cornuta,beaked hazel,,0.081,0.27,,"Mundell et al., 2007","near Roblin, Manitoba, CA",Priarie posholes,subxeric silty clay Orthic Gray,shrub,trenchwall,,,,,,
Cotinus coggygria,Smoketree,,,,,,,,,,,,,,,0,
